"නගරය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","30","24","95","65","සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"මඩකලපුව","30","24","95","75","සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"හකාළඹ","29","25","90","70","වැසි වාර කිහිපයක්"
"ගාල්ල","29","25","90","75","වැසි වාර කිහිපයක්"
"යාපනය","29","24","95","85","වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මහනුවර","28","21","95","60","වැසි වාර කිහිපයක්"
"නුවරඑළිය","18","14","95","65","වැසි වාර කිහිපයක්"
"රත්නපුරය","29","24","95","60","වැසි වාර කිහිපයක්"
"ිකුණාමලය","30","24","95","60","වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මන්නාරම","30","25","95","70","වැසි වාර කිහිපයක්"
