"","Weather Forecast for Main Cities","","","","8-May-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","24","95","65","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","30","24","95","75","Showers or thundershowers after 2.00p.m"
"Colombo","29","25","90","70","Several spells of showers"
"Galle","29","25","90","75","Several spells of showers"
"Jaffna","29","24","95","85","Showers or thundershowers"
"Kandy","28","21","95","60","Several spells of showers"
"Nuwara-Eliya","18","14","95","65","Several spells of showers"
"Ratnapura","29","24","95","60","Several spells of showers"
"Trincomalee","30","24","95","60","Showers or thundershowers"
"Mannar","30","25","95","70","Several spells of showers"
