"","Weather Forecast for Main Cities","","","Date :","24-Jan-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","28","22","95","90","A few showers"
"Batticaloa","28","24","95","90","Several spells of showers"
"Colombo","29","24","95","85","Showers or thundershowers are likely after 2.00p.m"
"Galle","28","24","95","85","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","28","24","95","80","A few showers"
"Kandy","26","21","95","80","A few showers"
"Nuwara-Eliya","17","14","95","80","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","29","24","95","90","Showers or thundershowers after 2.00p.m"
"Trincomalee","30","23","95","90","A few showers"
"Mannar","28","24","95","90","A few showers"
