"","","","","Date :","22-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","90","65","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","31","25","90","70","A few showers"
"Colombo","32","25","90","70","Showers or thundershowers after 2.00p.m"
"Galle","32","24","90","70","Showers or thundershowers after 2.00p.m"
"Jaffna","34","25","90","60","A few showers"
"Kandy","32","21","90","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","14","90","65","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","23","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","25","90","70","A few showers"
"Mannar","33","26","90","60","Showers or thundershowers after 2.00p.m"
