"","","","","","","","Water","Water","","","6 Hr RF in"
"","","","","","Minor","Major","","","","Level",""
"River Basin","Tributory/River","","","Alert","","","Level at","Level at","Remarks","","mm at 3:00"
"","","Station","Unit","","Flood","Flood","","","","Rising or",""
"","","","","Level","","","2:00 PM","3:00 PM","","","PM"
"","","","","","Level","Level","","","","Falling",""
"","Kelani Ganga","Nagalagam Street","ft","4.00","5.00","7.00","2.20","2.30","Normal","","-"
"","Kelani Ganga","Hanwella","m","7.00","8.00","10.00","3.38","3.28","Normal","","0.0"
"","Kelani Ganga","Glencourse","m","15.00","16.50","19.00","10.96","10.87","Normal","","0.0"
"Kelani Ganga","","","","","","","","","","",""
"","Kelani Ganga","Kithulgala","m","3.00","4.00","6.00","1.85","1.85","Normal","","0.0"
"(RB 01)","","","","","","","","","","",""
"","Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","0.60","0.60","Normal","","0.0"
"","Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","1.46","1.49","Normal","","1.8"
"","Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","0.73","0.73","Normal","","0.0"
"","Kalu Ganga","Putupaula","m","3.00","4.00","5.00","2.30","2.30","Normal","","3.1"
"","Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","8.28","8.25","Normal","","0.0"
"Kalu Ganga","","","","","","","","","","",""
"","Kalu Ganga","Rathnapura","m","5.20","7.50","9.50","3.54","3.44","Normal","","0.0"
"(RB 03)","","","","","","","","","","",""
"","Maguru Ganga","Magura","m","4.00","6.00","7.50","2.41","2.38","Normal","","0.0"
"","Kuda Ganga","Kalawellawa (Millakanda)","m","5.00","6.50","8.00","5.61","5.57","Alert","Falling","1.1"
"","Gin Ganga","Baddegama","m","3.50","4.00","5.00","3.07","3.03","Normal","","0.0"
"Gin Ganga","","","","","","","","","","",""
"(RB 09)","","","","","","","","","","",""
"","Gin Ganga","Thawalama","m","4.00","6.00","7.50","1.92","1.90","Normal","","0.0"
"","Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","1.12","1.10","Normal","","0.0"
"","Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","3.86","3.82","Normal","","0.0"
"Nilwala Ganga","","","","","","","","","","",""
"(RB 12)","","","","","","","","","","",""
"","Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","0.87","0.82","Normal","","0.0"
"","Urubokka Ganga","Urawa","m","2.50","4.00","6.00","0.30","0.28","Normal","","0.0"
"","Maha Oya","Badalgama","m","5.00","6.20","9.60","2.48","2.47","Normal","","0.0"
"Maha Oya","","","","","","","","","","",""
"(RB 102)","","","","","","","","","","",""
"","Maha Oya","Giriulla","m","5.50","6.50","7.50","1.32","1.32","Normal","","0.0"
"Attanagalu Oya","","","","","","","","","","",""
"","Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","1.16","1.16","Normal","","0.0"
"(RB 103)","","","","","","","","","","",""
"Prepared by :","W.A.S. Saumya (H.D.S.)(Act)","","","","","","","","","",""
"Checked by :","","","","","","","","","","",""
