"T","he forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"","","","Deep Depression"
"26.11.24/0600","6.5/82.5","50-60 gusting to 70",""
"26.11.24/1800","7.7/82.0","50-60 gusting to 70","Deep Depression"
"27.11.24/0600","8.8/81.6","55-65 gusting to 75","Deep Depression"
"27.11.24/1800","9.8/81.2","55-65 gusting to 75","Deep Depression"
"28.11.24/0600","10.6/80.9","55-65 gusting to 75","Deep Depression"
"28.11.24/1800","11.4/80.6","55-65 gusting to 75","Deep Depression"
