"","Weather Forecast for Main Cities","","","Date :","31-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","60","Several spells of showers"
"Batticaloa","36","27","75","55","A few showers"
"Colombo","30","24","95","75","Showers or thundershowers at times"
"Galle","29","25","95","80","Showers or thundershowers at times"
"Jaffna","33","28","85","70","A few showers"
"Kandy","25","22","95","75","Showers or thundershowers at times"
"Nuwara-Eliya","16","14","95","75","Showers or thundershowers at times"
"Ratnapura","29","23","95","75","Showers or thundershowers at times"
"Trincomalee","33","27","75","55","Mainly fair"
"Mannar","32","28","80","70","Several spells of showers"
