"","Weather Forecast for Main Cities","","","Date : 3-Mar-2025",""
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","95","80","A few showers"
"Batticaloa","30","25","95","80","Several spells of showers"
"Colombo","30","23","95","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","30","25","95","80","Showers or thundershowers after 2.00p.m"
"Jaffna","32","25","95","75","A few showers"
"Kandy","32","21","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","23","12","95","85","Showers or thundershowers at times"
"Ratnapura","34","22","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","30","25","95","80","Several spells of showers"
"Mannar","31","25","95","80","Showers or thundershowers are likely after 2.00p.m"
