"Kirinda Puhulwella","2019.08.07","2","11","","","","","2"
"Hakmana","2019.08.07","54","194","","","","","54"
"Kamburupitiya","2019.08.08","3","12","","","","","3"
"ම෈තර","","","","","","","",""
"","Heavy  rain &","","","","","","",""
"khj;jiw    
16
Mulatiyana","2019.08.08","2","10","","","","","2"
"","High wind","","","","","","",""
"Matara","","","","","","","",""
"Thihagoda","2019.08.08","4","12","","","","","4"
"Kotapola","2019.08.07","11","48","","1","","","11"
"Pasgoda","2019.08..08","9","34","","","","","9"
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","85","321","0","1","0","0","85"
