"","","","","","","","Page 2","","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","","Seruwila","","6","14","","","","","","6","","","","","",""
"","","","","","2020.10.15","","","","","","","","","","","","",""
"නැමගනහිර පලොත","","","","","3","9","","","","","","3","","","","","",""
"fpof;F","","","Kanthale","","","","","","","","","","","","","","",""
"","","ත්‍රීකුණො ලය","","High Wind","","","","","","","","","","","","","",""
"","","","","","2020.10.16
3","12","","","","","","3","","","","","",""
"Eastern","6","","","","","","","","","","","","","","","","",""
"","","jp.kiy","","","","","","","","","","","","","","","",""
"","","Trincomalee","Kinniya","","2020.10.16
1","7","","","","","","1","","","","","",""
"","","","","","2020.10.14
1","3","","","","","","","1","","","","",""
"","","","Kuchchaveli","","","","","","","","","","","","","","",""
"","","","","Elephant Attack","2020.10.16
1","5","","","1","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","15","50","","0","1","0","0","13","1","0","0","0","0",""
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","17","60","","0","1","0","0","15","1","0","0","0","0",""
"","","","Ruwanwella","Tree Fallen","2020.10.14
5","19","","","","","","1","","","","","",""
"","","","Warakapola","High Wind","2020.10.14
2","8","","","","","","2","1","","","","",""
"","","","Bulathkohupitiya","High Wind","2020.10.15
2","9","","","","","","2","","","","","",""
"","","","Aranayake","Tree Fallen","2020.10.14
1","2","","","","","","","","","","","",""
"","","කෑගල්ල","Mawanella","Tree Fallen","2020.10.15
2","8","","","","","","2","","","","","",""
"","7","Nffhiy","","","","","","","","","","","","","","","",""
"","","","","Heavy Rain","2020.10.15
5","27","","","","","","5","","","","","",""
"","","Kegalle","Yatiyanthota","","","","","","","","","","","","","","",""
"","","","","Lightning","2020.10.15
2","9","","","","","","2","","","","","",""
"ස්ත්‍බරගමුව පලොත","","","","","","","","","","","","","","","","","",""
"rg;ufKt","","","Rambukkana","Wind","2020.10.14
3","12","","","","","","2","1","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","",""
"","","","Kegalle","Tree Fallen","2020.10.14
1","2","","","","","","1","","","","","",""
"","","","","","","","","","","","","","","","","","","One Person died due to Tree"
"","","","Galigamuwa","High Wind","14
2020.10.14","52","","1","","","","11","","","","","",""
"","","","","","","","","","","","","","","","","","Fallen",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","37","148","","1","0","0","0","28","2","0","0","0","0",""
"","","රත්නපුර","Balangoda","Rock Fallen Risk","2020.10.12
15","65","","","","","","","","","2","13","56 Pettigala Tamil School",""
"","8",",uj;jpdGhp","","","","","","","","","","","","","","","",""
"","","Rathnapura","Imbulpe","Hlgh Wind","2020.10.14
9","34","","2","1","","","5","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","24","99","","2","1","0","0","5","0","0","2","13","56",""
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","61","247","","3","1","0","0","33","2","0","2","13","56",""
"","","","Vavuniya North","","2020.10.13
2","7","","","","","","2","","","","","",""
"","","වව්නනියොව","","","","","","","","","","","","","","","",""
"","","","Vavuniya","","2020.10.14
4","13","","","","","","4","","","","","",""
"උතුරු පලොත","9","tTdpah","","Hlgh Wind","","","","","","","","","","","","","",""
"","","","Vavuniya South","","2020.10.14
8","19","","","","","","8","","","","","",""
"tl khfhzk","","Vavuniya","","","","","","","","","","","","","","","",""
"Northen","","","Vengalacheddikulam","","2020.10.14
4","7","","","","","","4","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","18","46","","0","0","0","0","18","0","0","0","0","0",""
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","18","46","","0","0","0","0","18","0","0","0","0","0",""
"වයඹ පලොත","","පුත්තල  Gj;jsk","","","","","","","","","","","","","","","",""
"","10","","Naththandiya","Fire","2020.10.20
1","7","","","","","","1","","","","","",""
"tlNky;","","Puttalam","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","7","","0","0","0","0","1","0","0","0","0","0",""
