"","දිස්ත්‍රික්කය","","","","","හානි"
"","","gpuNjr nra.gp     DS","","FLk;gq;fs;","People
egHfs;","People
gFjpasT"
"","மாவட்டம் District","","","","","KOik"
"","","","","Families","People","Partially"
"","","Division","","","","Fully"
"","","Rathnapura","","63","255","18"
"","","Kolonna","","7","24","7"
"","","Godakawela","","13","56","1
9"
"","","Nivithigala","","6","18","6"
"","","Kahawatta","","10","34","10"
"","","Eheliyagoda","","6","25","6"
"","","Elapatha","","78","294","6"
"","රත්නපුර","Kuruvita","Tree Fallen/Cutting","6","24","6"
"","","","2023.09.27-","","",""
"1","uj;jpdGhp","Kalawana","Failure Risk/Heavy","9","30","3"
"","","","2023.10.02","","",""
"","Rathnapura","Pelmadulla","Rain/Flood","11","48","11"
"","","Opanayake","","4","13","1"
"","","Ayagama","","19","62","5"
"සබරගමුව පලොත","","","","","",""
"","","Kiriella","","25","95","1
4"
"rg;ufKt","","","","","",""
"","","Weligepola","","2","10","1"
"Sabaragamuwa","","","","","",""
"","","Balangoda","","1","4","1"
