"","The forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"25.05.24/1730","18.8/89.5","60-70 gusting to 80","Cyclonic Storm"
"25.05.24/2330","19.4/89.4","75-85 gusting to 95","Cyclonic Storm"
"26.05.24/0530","20.0/89.4","95-105 gusting to 115","Severe cyclonic Storm"
"26.05.24/1730","20.7/89.4","110-120 gusting to 135","Severe cyclonic Storm"
"26.05.24/0530","21.4/89.4","110-120 gusting to 135","Severe cyclonic Storm"
"27.05.24/1730","22.6/89.6","70-80 gusting to 90","Cyclonic Storm"
"27.05.24/0530","23.8/90.0","50-60 gusting to 70","Deep Depression"
"28.05.24/1730","24.9/90.5","30-40 gusting to 50","Depression"
