"","Weather Forecast for Main Cities","","","","5-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","90","50","A few showers"
"Batticaloa","30","24","95","75","Several spells of showers"
"Colombo","32","24","90","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","30","23","95","65","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","85","70","Mainly fair"
"Kandy","30","20","95","55","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","10","95","55","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","22","95","55","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","25","85","70","A few showers"
"Mannar","31","25","85","70","Mainly fair"
