"Flood","2018.10.07","25","94","","","","","","","","","","",""
"Nachchaduwa","","","","","","","","","","","","","",""
"උතුරුමැද","","1810","5702","","","","","","","","","","",""
"අනුරාධ්‍පුර","","","","","","","","","","","","","",""
"පලාත/tlkj;
Ma.Nu.Pa
m.Guk 
16","","821","2942","","","","","","","","","","",""
"jpa","","","","","","","","","","","","","",""
"Anuradhapura","","","","","","","","","","","","","",""
"Thalawa
Drought","2018.09.20","95","401","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","",""
"North 
Padaviya","","830","3130","","","","","","","","","","",""
"Central/","","","","","","","","","","","","","",""
"Kabithigollewa","","3001","9380","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","6582","21649","0","0","0","0","0","0","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","6582","21649","0","0","0","0","0","0","0","0","0","0",""
"මන්නාරම/kd;dhH/","","","","","","","","","","","","","",""
"17
Flood
Madu","2018.10.07","56","184","","","","","","","","1","56","","184 Safe Location -"
"Mannar","","","","","","","","","","","","","","Divisional Secatariat"
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total
උතුරු","","56","184","0","0","0","0","0","0","0","1","56","184",""
"පලාත/tl 
Vengalacheddikulam
Drought","2018.03.14","1759","6237","","","","","","","","","","",""
"වව්නියාව/tTdpah/","","","","","","","","","","","","","",""
"18
khfhzk;/","","","","","","","","","","","","","",""
"Vavuniya
Vavuniya North","2018.04.09","158","605","","","","","","","","","","",""
"Northen/","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","1917","6842","0","0","0","0","0","0","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","1973","7026","0","0","0","0","0","0","0","1","56","184",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","14365","50949","7","13","0","29","2180","505","11","5","81","296",""
