"","Weather Forecast for Main Cities","","","","2024-08-18"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","26","95","70","Showers or thundershowers after 2.00p.m"
"Batticaloa","33","26","90","65","Showers or thundershowers after 2.00p.m"
"Colombo","31","24","95","80","Showers or thundershowers at times"
"Galle","29","25","95","85","Showers or thundershowers at times"
"Jaffna","34","26","95","65","Showers or thundershowers are likely after 2.00p.m"
"Kandy","30","23","95","70","Showers or thundershowers at times"
"Nuwara-Eliya","23","15","95","75","Showers or thundershowers at times"
"Ratnapura","32","23","95","85","Showers or thundershowers at times"
"Trincomalee","32","25","90","70","Showers or thundershowers after 2.00p.m"
"Mannar","31","24","95","75","Showers or thundershowers"
