"","","","","","","","","Injured","Missing","","","நிறுவனங்களின்","","","","","",""
"","","மாவட்டம்","","","","egHfs;","","","","","","","","fl;likg;Gf;fs;","","vz;zpf;i","FLk;gq;f","egHfs;"
"","","","","commenced","FLk;gq;fs;","","","","","KOik","T","","","","","","",""
"","","","DS","","","People","","People","People","","","சேதங்கள்; Small,","","Damages to","","f   No.","s;","Persons"
"","","District","","","Families","","","","","Fully","Partially","","","","","","",""
"","","","Division","","","","","","","","","Medium,","","critical","","of Safety","Families",""
"","","","","","","","","","","","","Enterprises","","Infrastructure","","Locations","",""
"","","","","","","","","","","","","Damages","","","","","",""
"","","","Delf","2021.03.21","1113","3341","","","","","","","","","","","",""
"","","යාපනය","Drought","","","","","","","","","","","","","","",""
"","1","aho;g;ghzk;","","2021.05.20","2514","7974","","","","","","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","","","","",""
"","","Jaffna","Karainagar","","","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","","","",""
"","","","High Wind","2021.05.25","4","25","","1","","","4","","","","","","",""
"Northen","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","3631","11340","0","1","0","0","4","","0","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","3631","11340","0","1","0","0","4","","0","","0","0","0","0"
"","","මඩකලපුව","Porathivupattu","2021.05.03","1320","3602","","","","","","","","","","","",""
"","2","kl;lf;fsg;G","Drought","","","","","","","","","","","","","","",""
"","","Batticaloa","Manmunai West","2021.05.10","2717","9930","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","4037","13532","0","0","0","0","0","","0","","0","0","0","0"
"නැගගනහිර","","","Kanthale","","2","8","","","","","2","","","","","","",""
