"මොතනේ","","","","","","","","","","","","",""
"මධයම පලොත 
5
Galewela
Heavy Rain
khj;jis","2022.01.04","2","7","","","","","2","","","","",""
"kj;jpa 
Matale","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2","7","0","0","0","0","2","0","0","0","0","0"
"Central","","","","","","","","","","","","",""
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","2","7","0","0","0","0","2","0","0","0","0","0"
"රත් පුර","","","","","","","","","","","","",""
"ස්ත්‍බරෙමුව","","","","","","","","","","","","",""
"6
Kalawana
Heavy Rain
,uj;jpdGhp","2022.01.04","1","4","","","","","1","","","","",""
"පලොත","","","","","","","","","","","","",""
"Rathnapura","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
Sabaragamuw","","1","4","0","0","0","0","1","0","0","0","0","0"
"a","","","","","","","","","","","","",""
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","4","0","0","0","0","1","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","525","1938","0","0","0","0","15","0","0","0","0","0"
"","","","","රොජකොරි භොර නිළධොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
