"","Weather Forecast for Main Cities","","","Date :","16-Jan-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","23","95","85","Several spells of showers"
"Batticaloa","29","24","95","85","Several spells of showers"
"Colombo","30","24","90","80","Several spells of showers"
"Galle","29","24","95","80","Showers or thundershowers after 4.00p.m"
"Jaffna","29","24","95","85","Several spells of showers"
"Kandy","27","22","95","80","Several spells of showers"
"Nuwara-Eliya","16","14","95","85","Several spells of showers"
"Ratnapura","32","23","95","85","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","24","95","85","Several spells of showers"
"Mannar","29","23","95","85","Several spells of showers"
