"","Weather Forecast for Main Cities","","","Date :","24-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","23","95","60","Mainly fair"
"Batticaloa","30","24","95","80","Mainly fair"
"Colombo","32","25","90","60","Mainly fair"
"Galle","30","25","95","80","Mainly fair"
"Jaffna","31","24","90","70","Mainly fair"
"Kandy","30","22","95","65","Mainly fair"
"Nuwara-Eliya","20","13","95","75","Mainly fair"
"Ratnapura","33","24","90","70","Mainly fair"
"Trincomalee","31","23","95","80","Mainly fair"
"Mannar","31","26","95","75","Mainly fair"
