"Missing in the","","","","","","","","","","","","","",""
"Hikkaduwa
ගාල්ල","2018.06.29","","","","","7","","","","","","","",""
"Marine
14","","","","","","","","","","","","","",""
"fhyp      Galle","","","","","","","","","","","","","",""
"Nagoda
High Wind","2018.07.08","5","22","","","","2","3","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","5","22","0","0","7","2","3","0","0","0","0","0",""
"Beliatta South
හම්බන්නතොට","","","","","8","","","","2","","","","",""
"High Wind
දකුනු පලාත/","2018.07.08","","","","","","","","","","","","",""
"Beliatta East
15
`k;ghe;Njhl;il","","2","6","","1","","","2","","","","","",""
"njd;","","","","","","","","","","","","","",""
"Hambantota
Lunugamwehera
khfhzk;/","Elephant Attack
2018.07.07","","1","1","","","","","","","","","",""
"Southern","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","2","7","1","9","0","0","2","2","0","0","0","0",""
"මාතර/khj;jiw/M","","","","","","","","","","","","","",""
"16
Matara
High Wind","2018.07.10","1","4","1","","","","","","","","","","Tree Falean"
"atara","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","1","4","1","0","0","0","0","0","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","8","33","2","9","7","2","5","2","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","98358","339245","6","12","13","4","352","11","1","6","31","136",""
"","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","",""
