"","Weather Forecast for Main Cities","","","","15-Apr-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","55","Mainly fair"
"Batticaloa","32","26","95","70","Mainly fair"
"Colombo","33","25","90","70","Showers or thundershowers are likely after 4.00p.m"
"Galle","32","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","35","24","95","50","Mainly fair"
"Kandy","33","23","95","55","Mainly fair"
"Nuwara-Eliya","23","10","95","60","Showers or thundershowers are likely after 4.00p.m"
"Ratnapura","35","24","95","55","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","34","25","95","70","Mainly fair"
"Mannar","34","26","90","55","Showers or thundershowers are likely after 4.00p.m"
