"","Weather Forecast for Main Cities","","","","2024-08-19"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","70","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","24","95","75","Showers or thundershowers at times"
"Galle","28","25","95","80","Showers or thundershowers at times"
"Jaffna","31","26","90","75","Showers or thundershowers are likely after 2.00p.m"
"Kandy","28","22","95","70","Several spells of showers"
"Nuwara-Eliya","20","16","95","75","Showers or thundershowers at times"
"Ratnapura","31","23","95","80","Showers or thundershowers at times"
"Trincomalee","32","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","26","90","75","Showers or thundershowers are likely after 2.00p.m"
