"දිනය/කේලොව)","ස
්ථොනය","උපරිම සුළකේ කේගය (පැයට කි. මි.)","ැළඹිලි ස්වභොවය"
"(ශ්‍රී ලාං ො පැය)","(උතුරු අක්්ොාංශ oN","",""
"","නැකගනහිර කේශොාංශ  oE)","",""
"07.06.23/1730","13.0/66.4","120-130 විටින් විට 145 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"07.06.23/2330","13.3/66.3","125-135 විටින් විට 150 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"08.06.23/0530","13.7/66.2","130-140 විටින් විට 155 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"08.06.23/1130","14.0/66.1","135-145 විටින් විට 160 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"08.06.23/2330","14.6/65.9","135-145 විටින් විට 160 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"09.06.23/1130","15.3/65.6","145-155 විටින් විට 170 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
