"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","35","25","85","50","සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"මඩකලපුව","34","26","85","55","සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"හකාළඹ","31","27","80","70","වැසි ස්වල්පයක්"
"ගාල්ල","29","26","85","80","වැසි ස්වල්පයක්"
"යාපනය","33","26","90","70","වැසි ස්වල්පයක්"
"මහනුවර","30","21","90","55","වැසි ස්වල්පයක්"
"නුවරඑළිය","20","13","95","65","වැසි ස්වල්පයක්"
"රත්නපුරය","34","24","95","60","වැසි ස්වල්පයක්"
"ත්‍රිකුණාමලය","36","26","75","40","සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"මන්නාරම","31","27","85","70","වැසි ස්වල්පයක්"
