"දිස්ත්‍රික්කය","","","","","","","","හානි","","நிறுவனங்களின்","","","",""
"","","commenced","","","","Injured","Missing","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i","","egHfs;"
"gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","","","","","","","","FLk;gq;f",""
"மாவட்டம் District","","","","","","People","People","KOik","","சேதங்கள்; Small,","","","",""
"","","","Families","People","","","","","Partially","","Damages to","f   No.","s;","Persons"
"Division","","","","","","","","Fully","","","","","",""
"","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","Damages","","","",""
"","","2023.10.14","134","495","","","","","","","","1","47","127 Kotabakma Tea factory"
"","","2023.10.25","12","46","","","","","","","","1","11","39 Dambethenna dalu"
"","","","","","","","","","","","","","","kirana sthanaya"
"Haldumulla","Landslide Risk","","","","","","","","","","","","",""
"","","2023.10.14","28","80","","","","","","","","1","15","60 Mahakanda punagala"
"","","","","","","","","","","","","","","old factory"
"","","2023.03.19","71","242","","","","3","37","2","","1","28","89 Punagala old tea factory"
"","High Wind","2024.01.16","1","4","","","","","1","","","","",""
"","Cutting Faliure /","","","","","","","","","","","","",""
"Bandarawela","","2023.10.14","3","7","","","","","3","","","1","3","7 Udaperuwa Muslim"
"","Heavy Rain / Wind","","","","","","","","","","","","","Mosque"
"Haputhale","Landslide Risk","2023.11.20","34","114","","","","","","","","1","7","26 Glanor Tamil School"
"","Cutting Faliure","2024.01.10","2","8","","","","","2","","","","",""
"","Landslide Risk due to","","","","","","","","","","","","",""
"","","2023.11.23","2","7","","","","","2","","","1","2","7 Karandagolle temple"
"බදුල්ල","Heavy Rain","","","","","","","","","","","","",""
"Ella","","","","","","","","","","","","","",""
"1
gJs;is","","","","","","","","","","","","","",""
"ඌෙ","Landslide Risk","2024.01.12","2","9","","","","","","","","1","2","9 Kilan waththa"
"Badulla","","","","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","",""
"Uva","","2023.12.30","67","194","","","","","","","","1","",""
"Passara","Landslide Risk","2023.12.31","7","34","","","","","","","","1","7","34  Tholabowatta jaynthi"
"","","","","","","","","","","","","","","collage"
"","","2023.12.15","14","40","","","","","","","","1","14","40 Pre School"
"","Hravy Rain / High","","","","","","","","","","","","",""
"","","2024.01.01-09","14","60","","","","","14","","","","",""
"","Wind","","","","","","","","","","","","",""
"","","2023.12.30","51","156","","","","","","","","1","51","156 Galulla Tamil collage"
"Lunugala","Landslide Risk","","","","","","","","","","","","",""
"","","2023.12.31","124","387","","","","","","","","1","101","319 Vigneshwara tamil"
"","","","","","","","","","","","","","","collage"
"Welimada","Heavy Rain/ Wind","2024.01.16","2","8","","","","","2","","","","",""
"Uva Paranagama","Heavy Rain","2024.01.12","1","1","","","","","1","","","","",""
"Soranathota","Heavy Rain","2024.01.12","6","28","","","","","6","","","","",""
"Mahiyanganaya","Heavy Rain","2024.01.15","6","24","","","","","6","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","581","1944","0","0","0","3","74","2","0","13","288","913"
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","581","1944","0","0","0","3","74","2","0","13","288","913"
"මුලතිව්","","","","","","","","","","","","","",""
"","Heavy Rain & High","","","","","","","","","","","","",""
"2
Puthukudiyiruppu
Ky;iyj;jPT","","2024.01.09","11","44","","","","","","","","1","7","27 Moonkilaru Primary"
"උතුරු පලාත","Wind","","","","","","","","","","","","","School"
"Mulaitivu","","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","",""
