"Arachchikattuwa","1","3","","","","","1","","","","",""
"Puttalam","109","497","","","","","109","","","","",""
"Mundalama","16","62","","","","","16","","","","",""
"7
High Wind","2024.08.16","","","","","","","","","","",""
"Kalpitiya","13","49","","1","","","11","","","","",""
"පුත්තලම","","","","","","","","","","","",""
"වයඹ පලොත      
Gj;jsk;       
Wanathawilluwa","25","80","","","","","25","","","","",""
"tlNky; khfhzk 
Puttalam","","","","","","","","","","","",""
"Chilaw","2","5","","","","","2","","","","",""
"North","","","","","","","","","","","",""
"Mahawewa
Western","167","485","","","","","1","","","","",""
"Flood
Madampe","2024.08.19
127","507","","","","","","","","","",""
"Naththandiya","27","99","","","","","","","","","",""
"දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","487","1787","0","1","0","0","165","0","0","0","0","0"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","487","1787","0","1","0","0","165","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","9525","30424","2","1","1","1","221","5","0","0","0","0"
"","","","ආපදො කළම ොකරණ මධ්‍යස්ථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
