"","","","","","Affected","","","","","","","","","","","","",""
"","","","","","","","","","","","Damaged","","","","","","",""
"","","","","","","","","තුවාලවු","අතුරුදහ","","","","","","","","",""
"","","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","","","",""
"","","","","","","","මිය යෑම්","","","","","","","","","","",""
"පළාත","","","ආපදාව","mdu;j;jk;","","","","fhakil","පුද්ගලයින්","","","කුඩා හා මධය පරිමාණ","","","","","",""
"","","","","","","","kuzq;f","","","","","","ඉතා වැදගත් යටිතල","","ආරක්ිත","","",""
"#
khfhzk;","","","mdHj;jk","Muk;gpj;j","","","","e;NjhH","fhzhky;","","","වයාපාරික ස්ත්‍රථාන","","","","","",""
"","","","","","","","s;","","","","","","පහසුකම් වලට වූ","","ස්ත්‍
රථාන","","",""
"Province","","","Disaster","jpfjp    Date","","","","","NghNdhH","","","சிறிய,","","","","","පවුේ",""
"","","","","","පවුේ","","Deaths","","","පූර්ණ","අර්ධ හානි","","","","","","",""
"","දිස්ත්‍රික්කය","ප්‍රා.ලේ. ලකා","","of commenced","","පුද්ගලයින්","","Injured","Missing","","","நடுத்தர,","හානි mbg;gilf;","","ස්ත්‍ංඛ්‍යාව","","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්"
"","","","","","ස්ත්‍ංඛ්‍යාව","","","","","හානි","gFjpas","நிறுவனங் களின்","","","","","",""
"","மாவட்டம்","gpuNjr nra.gp     DS","","","","egHfs;","","People","People","","","","fl;likg;Gf;fs;","","vz;zpf;if","","FLk;gq;f","egHfs;"
"","","","","","FLk;gq;fs;","","","","","KOik","T","சேதங் கள்","","","","","",""
"","District","Division","","","","People","","","","","","","Damages to","","No. of","","s;","Persons"
"","","","","","Families","","","","","Fully","Partially","Small, Medium,","","","","","",""
"","","","","","","","","","","","","","critical","","Safety","","Families",""
"","","","","","","","","","","","","Enterprises","","","","","",""
"","","","","","","","","","","","","","Infrastructure","","Locations","","",""
"","","","","","","","","","","","","Damages","","","","","",""
"","","Mannar Town","","","831","3050","","","","","7","2","","","","2","56","215"
"","","Nanaddan","","","133","343","","","","","28","","","","","","",""
"","මන්නාරම","","","","","","","","","","","","","","","","",""
"1","kd;dhH","Musali","(Burevi) Cyclone","2020.12.02","16","39","","","","","2","","","","","","",""
"","Mannar","","","","","","","","","","","","","","","","",""
"","","Manthai West","","","907","3294","","","","","14","","","","","5","74","249"
"","","Madhu","","","340","1058","","","","1","21","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","2227","7784","0","0","0","1","72","2","","0","","7","130","464"
"","","Karaveddy","","2020.12.01/02","678","2299","","","","7","60","16","","3","","","",""
"","","Chankanai","","2020.12.01/02","1410","4784","1","1","","61","218","356","","2","","","",""
"","","Tellippalai","","","305","1080","","","","","24","","","","","1","14","45"
"","","Jaffna","","","2969","9787","","","","","2","3","","","","4","78","270"
"","","Sandilippay","","","1821","6567","","","","","95","11","","","","","",""
"","","Maruthankerny","","","408","1258","","","","","33","2","","","","","",""
"","යාපනය","Chavakachcheri","","","2524","8531","1","","","5","791","1","","","","4","66","236"
"2","aho;g;ghzk;","Delft","(Burevi) Cyclone","","1191","3618","","","","3","61","209","","16","","","",""
"","Jaffna","Uduvil","","2020.12.02","1196","4106","","","","","54","1","","","","","",""
"","","Point Pedro","","","1337","4703","","5","","15","1337","","","","","4","112","384"
"","","Kopay","","","4981","15561","","","","2","158","86","","2","","3","19","65"
"","","Nallur","","","2406","7783","","","","","36","60","","","","2","8","26"
"","","Karainagar","","","129","469","","","","","15","","","","","","",""
"උතුරු පලාත","","Kayts","","","365","1281","","","","","50","2","","2","","","",""
"tl khfhzk","","Velanai","","","900","3168","","","","","35","18","","1","","3","61","314"
"Northen","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","22620","74995","2","6","0","93","2969","765","","26","","21","358","1340"
"","","Karachchi","","","658","2031","","","","","39","","","6","","","",""
"","කිලිනනාච්චිය","Kandawalai","","","249","676","","","","","7","","","","","","",""
"3","fpspnehr;rp","","(Burevi) Cyclone","2020.12.02","","","","","","","","","","","","","",""
"","Killinochchi","Poonakary","","","723","1988","","","","3","196","","","","","2","88","134"
"","","Pachchilaipallal","","","296","973","","","","","34","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1926","5668","0","0","0","3","276","0","","6","","2","88","134"
"","","Maritimepattu","","","183","605","","","","","35","3","","","","","",""
