"හම්බනනතොට","","","","","","","","","","","","","",""
"Elephant attack
`k;ghe;Njhl;il 
7
Hambantota","2024.08.05","","","1","","","","","","","","","",""
"දකුනු පලොත","","","","","","","","","","","","","",""
"Hambantota","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","",""
"Southern
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","0","0","1","0","0","0","0","0","0","0","0","0",""
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","0","0","1","0","0","0","0","0","0","0","0","0",""
"","","","","","","","","","","","","","","Drinking water is being"
"බදුල්ල","","","","","","","","","","","","","",""
"8
Badulla
Drought","2024.07.29","164","656","","","","","","","","","","","distributed for drought"
"ඌව                
gJs;is  Badulla","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","areas"
"Cth khfhzk;","","","","","","","","","","","","","",""
"Uva","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","164","656","0","0","0","0","0","0","0","0","0","0",""
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","164","656","0","0","0","0","0","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","8527","26915","1","0","2","0","6","0","0","2","4","21",""
"","","","","ආපදො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","","",""
