"","District","","","s;","","People","","People","g","","","","","","","","","","fs;","","Persons"
"","","","","","","","","","","","","Partiall","","Small, Medium,","","Damages to","","Safety","","",""
"","","","","","","","","","","","Fully","","","","","","","","","",""
"","","","","Families","","","","","People","","","","","","","","","","Families","",""
"","","","","","","","","","","","","y","","Enterprises","","critical","","Location","","",""
"","","","","","","","","","","","","","","Damages","","Infastructure","","","","",""
"","","","","","","","","","","","","","","","","","","s","","",""
"","මඩකලපුව","","","","","","","","","","","","","","","","","","","",""
"ැනෙ හිර","1
Manmunai North
kl;lf;fsg;G","Flood","2018.12.08","","53","276","","","","","","","","","","","","","","",""
"පලොත","Batticaloa","","","","","","","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","53","276","0","0","","0","0","","0","","0","","0","0","","0","0"
"Eastern","","","","","","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","53","276","0","0","","0","0","","0","","0","","0","0","","0","0"
"","කිලින ොච්චිය","","","","","","","","","","","","","","","","","","","",""
"උතුරු පලොත","2
Karachchi
fpspnehr;rp","Drowing","2018.12.09","","1","3","1","","","","","","","","","","","","","",""
"tl","Killinochchi","","","","","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","1","3","1","0","","0","0","","0","","0","","0","0","","0","0"
"Northen","","","","","","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","1","3","1","0","","0","0","","0","","0","","0","0","","0","0"
